yy,mon,title_h,title_m,title_f,title_e,detail_link,author,publisher,pub_date,price,n_reviews,reivew_link,rating,tags
2023,1,[만화],슬램덩크 신장재편판 4,,첫 시합 능남전 2,https://www.yes24.com/Product/Goods/62921895,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 08월,"6,300",93,https://www.yes24.com/Product/Goods/62921895?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
2023,1,[만화],슬램덩크 신장재편판 17,,북산vs.산왕공고 2,https://www.yes24.com/Product/Goods/66360829,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 11월,"6,300",71,https://www.yes24.com/Product/Goods/66360829?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[도서],ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝  ,,,https://www.yes24.com/Product/Goods/105384874,"['게리 켈러', '제이 파파산', '구세희']",YBM(와이비엠),2021년 12월,"16,020",121,https://www.yes24.com/Product/Goods/105384874?ReviewYn=Y,9.6,"['#분철', '#토익만점기출로잡는다']"
2023,1,[만화],슬램덩크 신장재편판 15,,북산 전국대회 데뷔!,https://www.yes24.com/Product/Goods/66360819,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 11월,"6,750",77,https://www.yes24.com/Product/Goods/66360819?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 10,,해남대 부속 vs. 능남,https://www.yes24.com/Product/Goods/64338575,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 09월,"6,300",85,https://www.yes24.com/Product/Goods/64338575?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 7,,북산 vs. 상양,https://www.yes24.com/Product/Goods/64338569,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 09월,"6,750",91,https://www.yes24.com/Product/Goods/64338569?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 8,,북산 vs. 해남대 부속 1,https://www.yes24.com/Product/Goods/64338571,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 09월,"6,750",90,https://www.yes24.com/Product/Goods/64338571?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화']"
2023,1,[만화],슬램덩크 신장재편판 9,,북산 vs. 해남대 부속 2,https://www.yes24.com/Product/Goods/64338573,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 09월,"6,750",85,https://www.yes24.com/Product/Goods/64338573?ReviewYn=Y,9.8,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 11,,북산 vs. 능남 1,https://www.yes24.com/Product/Goods/64724550,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 10월,"6,300",75,https://www.yes24.com/Product/Goods/64724550?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 13,,북산 vs. 능남 3,https://www.yes24.com/Product/Goods/64724563,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 10월,"5,850",72,https://www.yes24.com/Product/Goods/64724563?ReviewYn=Y,9.6,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 14,,슛 합숙,https://www.yes24.com/Product/Goods/64724564,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 10월,"6,300",65,https://www.yes24.com/Product/Goods/64724564?ReviewYn=Y,9.6,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
2023,1,[만화],슬램덩크 신장재편판 12,,북산 vs. 능남 2,https://www.yes24.com/Product/Goods/64724562,"['게리 켈러', '제이 파파산', '구세희']",대원,2018년 10월,"6,300",71,https://www.yes24.com/Product/Goods/64724562?ReviewYn=Y,9.7,"['#왼손은거들뿐', '#스포츠만화', '#농구', '#스포츠물', '#전설의레전드']"
